dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.041,0.042,1.024x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.063,0.066,1.048x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.040,0.048,1.200x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.048,0.048,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.058,0.057,0.983x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.017,0.017,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.052,0.051,0.981x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.032,0.033,1.031x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.046,0.050,1.087x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.061,0.063,1.033x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.055,0.055,1.000x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.107,0.119,1.112x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.095,0.092,0.968x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.103,0.107,1.039x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.102,0.105,1.029x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-3.scen,0.149,0.123,0.826x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-4.scen,0.092,0.090,0.978x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-5.scen,0.093,0.089,0.957x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-6.scen,0.105,0.106,1.010x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-7.scen,0.110,0.109,0.991x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-8.scen,0.086,0.082,0.953x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-9.scen,0.101,0.096,0.950x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-0.scen,0.644,0.625,0.970x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-10.scen,0.779,0.757,0.972x,3,3,1,0.250,3,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-1.scen,0.604,0.609,1.008x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-2.scen,0.831,0.839,1.010x,3,3,1,0.250,3,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-3.scen,0.551,0.534,0.969x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-4.scen,0.598,0.596,0.997x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-5.scen,0.507,0.510,1.006x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-6.scen,0.509,0.495,0.972x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-7.scen,1.442,1.408,0.976x,8,9,1,0.100,9,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-8.scen,0.542,0.533,0.983x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-9.scen,0.493,0.492,0.998x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-0.scen,0.004,0.004,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-10.scen,0.006,0.006,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-1.scen,0.003,0.003,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-2.scen,0.009,0.009,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-3.scen,0.002,0.002,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-4.scen,0.004,0.004,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-5.scen,0.009,0.009,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-6.scen,0.006,0.006,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-7.scen,0.007,0.007,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-8.scen,0.005,0.005,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-9.scen,0.007,0.007,1.000x,0,0,1,1.000,0,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-0.scen,0.884,0.913,1.033x,145,162,1,0.006,162,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-10.scen,0.003,0.003,1.000x,0,0,1,1.000,0,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-1.scen,0.027,0.028,1.037x,1,1,1,0.500,1,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-2.scen,1.244,1.237,0.994x,179,216,1,0.005,216,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-3.scen,0.235,0.249,1.060x,24,27,1,0.036,27,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-4.scen,0.958,0.927,0.968x,122,140,1,0.007,140,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-5.scen,0.030,0.031,1.033x,2,2,1,0.333,2,1
