dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.042,0.042,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.039,0.048,1.231x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.065,0.066,1.015x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.053,0.048,0.906x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.059,0.057,0.966x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.017,0.017,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.053,0.051,0.962x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.033,0.033,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.046,0.050,1.087x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.059,0.063,1.068x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.055,0.055,1.000x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.109,0.119,1.092x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.106,0.107,1.009x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.092,0.092,1.000x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.103,0.105,1.019x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-3.scen,0.117,0.123,1.051x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-4.scen,0.093,0.090,0.968x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-5.scen,0.091,0.089,0.978x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-6.scen,0.104,0.106,1.019x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-7.scen,0.110,0.109,0.991x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-8.scen,0.085,0.082,0.965x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-9.scen,0.098,0.096,0.980x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-0.scen,0.629,0.625,0.994x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-1.scen,0.616,0.609,0.989x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-10.scen,0.773,0.757,0.979x,3,3,1,0.250,3,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-2.scen,0.857,0.839,0.979x,3,3,1,0.250,3,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-3.scen,0.569,0.534,0.938x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-4.scen,0.607,0.596,0.982x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-5.scen,0.523,0.510,0.975x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-6.scen,0.519,0.495,0.954x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-7.scen,1.426,1.408,0.987x,8,9,1,0.100,9,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-8.scen,0.517,0.533,1.031x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-9.scen,0.530,0.492,0.928x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-0.scen,0.004,0.004,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-1.scen,0.003,0.003,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-10.scen,0.006,0.006,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-2.scen,0.009,0.009,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-3.scen,0.002,0.002,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-4.scen,0.004,0.004,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-5.scen,0.009,0.009,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-6.scen,0.006,0.006,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-7.scen,0.007,0.007,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-8.scen,0.005,0.005,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-9.scen,0.007,0.007,1.000x,0,0,1,1.000,0,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-0.scen,0.889,0.913,1.027x,145,162,1,0.006,162,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-1.scen,0.027,0.028,1.037x,1,1,1,0.500,1,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-10.scen,0.003,0.003,1.000x,0,0,1,1.000,0,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-2.scen,1.241,1.237,0.997x,179,216,1,0.005,216,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-3.scen,0.237,0.249,1.051x,24,27,1,0.036,27,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-4.scen,0.935,0.927,0.991x,122,140,1,0.007,140,1
